url,Dun,anto,adrien,ethan
https://abcnews.go.com/Politics/wireStory/court-arguments-begin-effort-bar-trump-presidential-ballot-104469458,Neutral,,Neutral,
https://abcnews.go.com/US/wireStory/court-arguments-begin-effort-bar-trump-presidential-ballot-104469456,Neutral,,Neutral,
https://abcnews.go.com/Entertainment/wireStory/big-weekend-rich-eisen-reflects-nfl-network-turning-104635198,Neutral,Positive,,Positive
https://abcnews.go.com/Entertainment/wireStory/2024-grammy-nomination-snubs-surprises-pop-country-regional-104796254,Positive,,Positive,
https://abcnews.go.com/Entertainment/wireStory/movie-review-nicolas-cage-finds-fame-highly-overrated-104738290,Neutral,,Neutral,
https://abcnews.go.com/Entertainment/wireStory/economic-worries-vivid-seats-ceo-customers-pay-sports-104007581,Neutral,,Positive,
https://abcnews.go.com/Business/wireStory/chiefs-worlds-team-global-star-power-super-bowl-104632560,Positive,Positive,,Positive
https://abcnews.go.com/Entertainment/wireStory/noisy-rock-roll-growing-interest-formula-felt-music-104878547,Neutral,Neutral,,Positive
https://abcnews.go.com/Business/wireStory/noisy-rock-roll-growing-interest-formula-felt-music-104878552,Neutral,Neutral,,Positive
https://bleacherreport.com/articles/10094747-fantasy-football-week-8-top-100-players-updated-trade-value-and-advice,Neutral,Neutral,,Positive
https://bleacherreport.com/articles/10093938-fantasy-football-week-7-examining-trade-value-for-this-years-top-100-players,Neutral,Neutral,,Positive
https://bleacherreport.com/articles/10093556-rob-gronkowski-invites-chiefs-travis-kelce-taylor-swift-to-his-nfl-super-bowl-party,Positive,Positive,Neutral,Positive
https://bleacherreport.com/articles/10095141-tmz-taylor-swift-wont-attend-travis-kelce-chiefs-game-vs-broncos-in-week-8,Neutral,Neutral,Neutral,Negative
https://bleacherreport.com/articles/10094798-chiefs-travis-kelce-will-have-feature-on-jason-kelce-eagles-2nd-christmas-album,Positive,Positive,Neutral,Positive
https://bleacherreport.com/articles/10094477-jason-kelce-says-travis-taylor-swift-dating-reached-a-weird-level-due-to-paparazzi,Negative,Neutral,Neutral,Positive
https://bleacherreport.com/articles/10095687-video-chiefs-travis-kelce-reacts-to-viral-taylor-swift-halloween-tiktok-costume,Neutral,Neutral,Neutral,Positive
https://bleacherreport.com/articles/10097428-video-chiefs-travis-kelce-reveals-reaction-to-taylor-swifts-karma-lyric-change,Positive,Positive,Neutral,Positive
https://bleacherreport.com/articles/10096997-video-travis-kelce-taylor-swift-embrace-at-eras-tour-karma-lyrics-changed-for-te,Positive,Positive,Positive,Positive
https://bleacherreport.com/articles/10094796-chiefs-travis-kelce-addresses-viral-taylor-swift-stat-graphic-from-chargers-game,Positive,Positive,Neutral,Positive
https://bleacherreport.com/articles/10094003-tmz-chiefs-travis-kelce-buys-5m-kansas-city-mansion-amid-taylor-swift-relationship,Neutral,Neutral,Positive,Positive
https://bleacherreport.com/articles/10094003-tmz-chiefs-travis-kelce-buys-6m-kansas-city-mansion-amid-taylor-swift-relationship,Neutral,Neutral,Positive,Positive
https://bleacherreport.com/articles/10094423-video-taylor-swift-brittany-mahomes-celebrate-with-handshake-at-chargers-vs-chiefs,Neutral,Positive,,Positive
https://bleacherreport.com/articles/10093991-kristin-cavallari-clarifies-telling-chiefs-travis-kelce-she-was-in-love-with-him,Negative,Positive,,Positive
https://bleacherreport.com/articles/10094435-patrick-mahomes-travis-kelce-excite-fans-as-chiefs-beat-justin-herbert-chargers,Neutral,Positive,,Positive
https://bleacherreport.com/articles/10095939-listen-eagles-jordan-mailata-jason-kelce-cover-all-i-want-for-christmas-is-you,Neutral,Neutral,,Neutral
https://bleacherreport.com/articles/10096561-cowboys-vs-eagles-draws-271m-viewers-most-watched-nfl-game-of-2023-season,Neutral,Positive,,Positive
https://bleacherreport.com/articles/10096665-fantasy-football-week-10-updated-trade-value-for-top-100-players,Neutral,Positive,,Positive
https://bleacherreport.com/articles/10095441-fantasy-football-big-board-complete-2023-ppr-player-rankings-for-week-9,Neutral,Neutral,,Positive
https://bleacherreport.com/articles/10094567-fantasy-football-big-board-complete-2023-ppr-player-rankings-for-week-8,Neutral,Neutral,,Positive
https://bleacherreport.com/articles/10095616-fantasy-football-week-9-tips-trade-value-rankings-for-top-100-players,Neutral,Neutral,,Positive
https://bleacherreport.com/articles/10093641-fantasy-football-big-board-complete-2023-ppr-player-rankings-for-week-7,Neutral,Neutral,,Positive
https://bleacherreport.com/articles/10095885-fantasy-football-week-9-rankings-each-positions-flex-and-ppr-projections,Neutral,Neutral,,Positive
https://bleacherreport.com/articles/10096518-eagles-jason-kelce-to-feature-in-people-magazines-2023-sexiest-man-alive-edition,Positive,Positive,,Positive
https://bleacherreport.com/articles/10095493-nhl-style-rankings-bs-canadiens-continue-rivalry-off-ice-a-legend-goes-shirtless,Neutral,Neutral,,Positive
https://www.breitbart.com/entertainment/2023/11/08/taylor-swift-promoted-left-wing-voter-registration-organization-while-remaining-silent-on-hamas-massacre-of-israelis/,,,Negative,
https://www.breitbart.com/sports/2023/11/04/travis-kelce-said-looking-breeder-just-before-dating-taylor-swift/,Negative,Negative,,Positive
https://www.breitbart.com/entertainment/2023/11/07/taylor-swift-calls-on-fans-to-hit-the-polls-ahead-of-major-elections-in-several-states/,,,Negative,
https://www.businessinsider.com/news-today-october-30-baby-boomer-investing-strategy-2023-10,,,Positive,
https://markets.businessinsider.com/news/stocks/mark-zuckerberg-facebook-meta-stock-metaverse-losses-big-tech-investments-2023-10,,,Neutral,
https://www.businessinsider.com/news-today-october-27-goldman-sachs-partners-leaving-david-solomon-2023-9,,,Neutral,
https://www.businessinsider.com/etsy-financial-freedom-digital-goods-entrepreneur-2023-11,,,Neutral,
https://www.businessinsider.com/extortion-blackmail-plot-against-amc-ceo-adam-aron-2023-10,,,Positive,
https://www.businessinsider.com/ai-artificial-intelligence-new-luxury-item-will-be-humans-2023-10,,,Negative,
https://www.businessinsider.com/overemployed-workers-secret-two-multiple-jobs-salaries-tech-tips-2023-11,,,Negative,
https://www.businessinsider.com/taylor-swift-eras-tour-box-office-records-beyonce-barbie-oppenheimer-2023-10,,,Positive,
https://www.businessinsider.com/grimes-taylor-swift-presidential-candidate-could-unite-country-2023-10,,,Positive,
https://www.businessinsider.com/taylor-swift-travis-kelce-kansas-city-missouri-business-economy-booming-2023-10,,,Positive,
https://www.businessinsider.com/taylor-swift-beyonce-wont-prop-up-us-economy-much-longer-2023-11,,,Positive,
https://www.businessinsider.com/taylor-swift-reaches-billionaire-status-amid-monumental-eras-tour-bloomberg-2023-10,,,Neutral,
https://www.businessinsider.com/far-right-blaming-taylor-swift-gop-election-losses-2023-11,,,Neutral,
https://www.businessinsider.com/news-today-october-17-tech-jobs-workers-unhappy-2023-9,,,Positive,
https://www.businessinsider.com/species-name-celebrity-awareness-regret-taxonomy-2023-11,,,Neutral,
https://www.buzzfeed.com/samanthawieder/problem-solving-so-good-mastermind-an,,,Positive,
https://www.buzzfeed.com/samanthawieder/holiday-wish-list-ideas-now,,,Positive,
https://www.buzzfeed.com/mychalthompson/kelly-clarkson-taylor-swift-travis-kelce-response-reactions,,,Neutral,
https://www.buzzfeed.com/mychalthompson/travis-kelce-taylor-swift-love-question-reactions,Positive,Positive,,Neutral
https://www.buzzfeed.com/kristenharris1/taylor-swift-eras-tour-outfits-facts,,,Positive,
https://www.buzzfeed.com/jenae_sitzes/incredible-products-taylor-swift-travis-kelce,,,Positive,
https://www.buzzfeed.com/mjs538/taylor-swift-girls-night,Negative,Negative,,Neutral
https://www.buzzfeed.com/hbraga/black-clothing-shoes,,,Positive,
https://www.buzzfeed.com/jessicahall2/products-revolutionize-beauty-routine,,,Neutral,
https://www.buzzfeed.com/jessicahall2/beauty-products-so-good-they-seem-magical,,,Neutral,
https://www.buzzfeed.com/jessicahall2/beauty-items-wizard-cast-spell-on-an,,,Neutral,
https://www.buzzfeed.com/abbykass/products-help-save-time-running-late,,,Neutral,
https://www.buzzfeed.com/negestikaudo/makeup-products-under-25-reviewers-swear-by,,,Neutral,
https://www.buzzfeed.com/rachelleyang1/beauty-products-that-solve-problems,,,Neutral,
https://www.cbsnews.com/essentials/how-to-watch-the-houston-texans-vs-carolina-panthers-game-2023-10-29/,Positive,Positive,,Positive
